,Player,Year,current_stats,curr_gp,curr_record,prev_stats,prev_gp,prev_record,playoff_stats
110,Rudy Gobert,2020,33.1,68.0,0.6111111111111112,33.78,81.0,0.6097560975609756,25.119999999999997
111,Donovan Mitchell,2020,34.44,69.0,0.6111111111111112,33.760000000000005,77.0,0.6097560975609756,31.239999999999995
112,Jimmy Butler,2020,35.14,58.0,0.6027397260273972,29.86,65.0,0.6219512195121951,32.96
113,Bam Adebayo,2020,34.26,72,0.6027397260273972,20.3,82,0.47560975609756095,0.0
114,Brandon Ingram,2020,36.160000000000004,62.0,0.4166666666666667,28.02,52.0,0.45121951219512196,0.0
115,Luka Dončić,2021,47.620000000000005,66,0.5833333333333334,50.64,61,0.5733333333333334,53.2
116,Stephen Curry,2021,45.56,63,0.5416666666666666,34.96,5,0.23076923076923078,0.0
117,Giannis Antetokounmpo,2021,48.379999999999995,61,0.6388888888888888,52.54,63,0.7671232876712328,50.099999999999994
118,Nikola Jokić,2021,49.32,72,0.6527777777777778,39.94,73,0.6301369863013698,43.0
119,LeBron James,2021,43.599999999999994,45.0,0.5833333333333334,46.9,67.0,0.7323943661971831,51.120000000000005
120,Chris Paul,2021,32.48,70.0,0.7083333333333334,31.64,70.0,0.6111111111111112,36.54
121,Jaylen Brown,2021,35.98,58,0.5,30.5,57,0.6666666666666666,33.56
122,Paul George,2021,37.46,54.0,0.6527777777777778,33.019999999999996,48.0,0.6805555555555556,32.08
123,Damian Lillard,2021,42.84,67,0.5833333333333334,44.76,66,0.47297297297297297,33.66
124,Domantas Sabonis,2021,42.739999999999995,62.0,0.4722222222222222,39.379999999999995,62.0,0.6164383561643836,0.0
125,Rudy Gobert,2021,32.06,71.0,0.7222222222222222,33.1,68.0,0.6111111111111112,31.9
126,Kyrie Irving,2021,39.86,54.0,0.6666666666666666,41.32,20.0,0.4861111111111111,0.0
127,Bradley Beal,2021,42.22,60,0.4722222222222222,42.86,57,0.3472222222222222,0.0
128,Kawhi Leonard,2021,38.84,52,0.6527777777777778,41.5,57,0.6805555555555556,45.96
129,Jayson Tatum,2021,40.44,64,0.5,35.4,66,0.6666666666666666,43.7
130,Zion Williamson,2021,40.08,61,0.4305555555555556,32.58,24,0.4166666666666667,0.0
131,James Harden,2021,47.040000000000006,44.0,0.6666666666666666,51.22,68.0,0.6111111111111112,45.56
132,Donovan Mitchell,2021,37.92,53.0,0.7222222222222222,34.44,69.0,0.6111111111111112,48.18
133,Zach LaVine,2021,39.28,58.0,0.4305555555555556,36.3,60.0,0.3384615384615385,0.0
134,Nikola Vučević,2021,42.0,70.0,0.4305555555555556,37.0,62.0,0.4520547945205479,46.0
135,Julius Randle,2021,43.54,71.0,0.5694444444444444,34.86,64.0,0.3181818181818182,0.0
136,Mike Conley,2021,27.6,51.0,0.7222222222222222,23.520000000000003,47.0,0.6111111111111112,29.4
137,Stephen Curry,2022,39.3,64,0.6463414634146342,45.56,63,0.5416666666666666,0.0
138,LeBron James,2022,47.58,56.0,0.4024390243902439,43.599999999999994,45.0,0.5833333333333334,41.54
139,Giannis Antetokounmpo,2022,50.78,67,0.6219512195121951,48.379999999999995,61,0.6388888888888888,51.67999999999999
140,DeMar DeRozan,2022,40.019999999999996,76.0,0.5609756097560976,34.92,61.0,0.4583333333333333,0.0
141,Nikola Jokić,2022,53.14,74,0.5853658536585366,49.32,72,0.6527777777777778,49.72
142,Luka Dončić,2022,49.75999999999999,65,0.6341463414634146,47.620000000000005,66,0.5833333333333334,57.540000000000006
143,Darius Garland,2022,35.98,68,0.5365853658536586,27.599999999999998,54,0.3055555555555556,0.0
144,Jarrett Allen,2022,30.98,56.0,0.5365853658536586,26.84,63.0,0.3055555555555556,0.0
145,Fred VanVleet,2022,33.620000000000005,65,0.5853658536585366,32.2,52,0.375,0.0
146,Jimmy Butler,2022,35.08,57.0,0.6463414634146342,38.3,52.0,0.5555555555555556,31.9
147,Chris Paul,2022,32.94,65.0,0.7804878048780488,32.48,70.0,0.7083333333333334,33.72
148,Joel Embiid,2022,49.68,68,0.6219512195121951,44.58,51,0.6805555555555556,44.78
149,Jayson Tatum,2022,41.78,76,0.6219512195121951,40.44,64,0.5,43.08
150,Trae Young,2022,44.48,76,0.524390243902439,41.260000000000005,63,0.5694444444444444,43.56
151,Ja Morant,2022,42.28,57,0.6829268292682927,32.78,63,0.5277777777777778,45.8
152,Andrew Wiggins,2022,25.24,73.0,0.6463414634146342,27.36,71.0,0.5416666666666666,0.0
153,Devin Booker,2022,38.56,68,0.7804878048780488,35.8,67,0.7083333333333334,39.42
154,Dejounte Murray,2022,42.1,68,0.4146341463414634,30.7,67,0.4583333333333333,0.0
155,LaMelo Ball,2022,37.260000000000005,75,0.524390243902439,30.099999999999998,51,0.4583333333333333,0.0
156,Khris Middleton,2022,33.06,66.0,0.6219512195121951,34.08,68.0,0.6388888888888888,38.84
157,Karl-Anthony Towns,2022,40.68,74,0.5609756097560976,42.92,50,0.3194444444444444,0.0
158,Rudy Gobert,2022,34.559999999999995,66.0,0.5975609756097561,32.06,71.0,0.7222222222222222,30.42
159,Zach LaVine,2022,35.32,67.0,0.5609756097560976,39.28,58.0,0.4305555555555556,0.0
160,Anthony Edwards,2023,36.739999999999995,77,0.5,31.619999999999997,72,0.5609756097560976,33.84
161,Bam Adebayo,2023,35.82,73,0.5316455696202531,35.3,56,0.6463414634146342,27.64
